物件名,築年数,専有面積
本駒込戸建,6,102.04
ハイシティ高田馬場,42,15.82
東京メトロ南北線 本駒込駅 3階建 新築,0,54.89
ニューライフ新宿東,42,15.05
サテライト,56,19.5
牛込パークハイツ,45,25.0
シティハウス文京小日向,11,56.1
ＨＪ　ＰＬＡＣＥ　ＯＴＳＵＫＡ,4,11.94
早稲田ユニテ,46,23.28
プレシャス音羽,12,25.19
ＪＲ山手線 田町駅 10階建 築21年,21,21.97
レジディア文京小石川II,9,32.63
東京メトロ丸ノ内線 後楽園駅 15階建 築9年,9,32.63
ル　シエル,13,44.14
シティオ中落合,31,24.5
パークコート千代田富士見ザ・タワー,11,71.82
ＪＲ中央線 飯田橋駅 地下2地上40階建 築11年,11,71.82
ＪＲ山手線 田町駅 9階建 築45年,45,21.84
東京ベイビュウ,46,16.5
ロジマン御苑,46,16.24
ナーベルお茶の水,22,72.11
オープンレジデンシア代々木ザ・ハウス,9,108.4
東京メトロ東西線 早稲田駅 6階建 築54年,54,14.25
ヒルサイド白山,33,87.85
ＪＲ山手線 田町駅 10階建 築21年,21,20.16
東雲荘,48,21.45
東京メトロ千代田線 根津駅 2階建 築4年,4,36.49
KOISHIKAWA BASIS,7,31.62
都営三田線 白金高輪駅 6階建 築31年,31,18.9
ル・ポワン,28,18.2
東京メトロ千代田線 湯島駅 11階建 築16年,16,40.75
Hill manor koishikawa,5,63.96
都営浅草線 東日本橋駅 13階建 築25年,25,68.25
神宮前４丁目へーベルハウス,6,128.86
コーポ鎧,47,21.0
東京メトロ有楽町線 護国寺駅 3階建 築7年,7,42.48
Nifit KOISHIKAWA,2,54.14
グランプラス千駄木,12,40.84
バロン西麻布,48,17.15
Noel本郷,7,30.03
レイランド・アザブ,42,22.44
東京メトロ東西線 落合駅 4階建 築56年,56,27.0
CASTALIA 銀座,21,29.57
ＹＳＫIII,24,21.92
京王新線 初台駅 14階建 築42年,42,22.56
ハイネスロワイヤル,42,22.56
東京メトロ千代田線 千駄木駅 6階建 築16年,16,41.73
クレセント早稲田,28,15.6
カシェット東大前,1,53.57
サンフジ,31,40.0
エフ・コーポ,59,14.86
都営三田線 千石駅 13階建 築21年,21,63.13
ダイヤモンドレジデンス新宿,52,15.78
都営新宿線 新宿三丁目駅 5階建 築52年,52,15.78
京王井の頭線 神泉駅 3階建 築33年,33,268.07
若松荘,62,13.23
ブルジョン南青山,52,176.18
東京メトロ南北線 東大前駅 11階建 築14年,14,41.34
西武池袋線 椎名町駅 9階建 築23年,23,23.29
ＪＲ山手線 西日暮里駅 12階建 築17年,17,24.63
ＴＲＥＥ　ＴＯＰＳ　代々木,1,89.02
ＪＲ中央線 東中野駅 5階建 築30年,30,23.46
アトラス文京小石川,1,34.94
リエス千駄木,17,45.44
東京メトロ千代田線 千駄木駅 地下1地上5階建 築17年,17,45.44
都営三田線 千石駅 3階建 築10年,10,93.36
ＴＲＥＥ　ＴＯＰＳ　代々木,1,89.02
ノエル本郷,7,30.03
東京メトロ丸ノ内線 新大塚駅 5階建 築4年,4,11.94
グリーンパレス,37,19.47
ＪＲ山手線 巣鴨駅 4階建 築7年,7,41.07
レジディア文京本郷,20,25.6
都営三田線 水道橋駅 12階建 築20年,20,25.6
東京メトロ日比谷線 八丁堀駅 7階建 築10年,10,32.94
京王新線 初台駅 地下1地上11階建 築43年,43,20.96
ライオンズマンション初台第３,43,20.96
ＰＥＡＣＥ芝浦,7,26.08
メゾンドコンフォート,38,15.55
東京メトロ南北線 麻布十番駅 4階建 築34年,34,19.16
レジデンスノヴァ南麻布,34,19.16
クリスタル中井パートI,39,15.08
フォンテーヌ芝浦,15,26.02
クレヴィア文京関口,6,56.94
ＪＲ山手線 高田馬場駅 3階建 築23年,23,15.57
橋口デンタルビル,52,18.0
東京メトロ東西線 早稲田駅 11階建 築33年,33,18.12
ＪＲ山手線 田町駅 10階建 築40年,40,16.1
ＪＲ中央線 大久保駅 4階建 築35年,35,20.7
トップ新宿第2,41,13.06
ＪＲ京葉線 八丁堀駅 10階建 築21年,21,24.52
ミラージュエヴァン,12,44.62
東京メトロ千代田線 千駄木駅 10階建 築19年,19,40.41
ハイシティ高田馬場,40,15.82
スカイコート落合,40,15.0
東京メトロ日比谷線 広尾駅 2階建 築55年,55,25.0
ＪＲ山手線 田町駅 10階建 築40年,40,16.1
都営三田線 千石駅 14階建 築16年,16,65.0
パークハビオ人形町,15,26.06
都営大江戸線 若松河田駅 4階建 築41年,41,18.2
ライフピアセルリアン,23,12.46
第２三池ビル,44,21.3
ヴィップ新大久保,34,9.55
メゾン・ド・ルミエール,36,22.68
東京メトロ日比谷線 広尾駅 2階建 築55年,55,25.0
ＪＲ山手線 高田馬場駅 3階建 築32年,32,21.85
浜谷ビル,56,18.0
アトラス築地,4,72.75
宮川ビル,28,18.0
ハイシティ南青山,41,15.06
レイズビル高田馬場,33,33.76
Ｋｉｉｒｏ千駄木,0,26.1
Porte Bonheur OTO（ポルトボヌール）,0,44.25
セレーノ品川,20,24.48
目白台HYビル,17,49.7
都営三田線 白金高輪駅 4階建 築34年,34,18.36
さかえマンション,57,21.53
西武新宿線 新井薬師前駅 3階建 築57年,57,21.53
恵比寿セントラル,63,15.0
東京メトロ有楽町線 江戸川橋駅 5階建 築11年,11,40.54
オーベル早稲田,37,21.0
都営大江戸線 若松河田駅 3階建 築37年,37,21.0
ＪＲ山手線 品川駅 11階建 築20年,20,24.48
ＴＢハット,35,15.0
都営大江戸線 東新宿駅 5階建 築53年,53,28.84
STバード,35,13.0
STバード,35,13.0
コート元代々木町,4,56.61
東京メトロ東西線 早稲田駅 3階建 築50年,50,20.0
KAZU新宿,62,23.18
ヴィラ芝宮,42,53.0
東京メトロ有楽町線 江戸川橋駅 3階建 築6年,6,31.47
Mビル1,55,21.0
レジディア文京本郷3,11,26.07
ビエラコート日本橋久松町,0,28.08
東京メトロ千代田線 根津駅 5階建 築25年,25,80.47
ザ・パークハウスグラン千鳥ヶ淵,10,108.53
京王新線 幡ヶ谷駅 3階建 築3年,3,58.79
シティハウス月島駅前ベイブリーズコート,14,71.8
都電荒川線 面影橋駅 11階建 築17年,17,22.94
麻布第一マンションズ,20,115.97
アーバ・ハイツ西早稲田,31,16.2
カーサ奈須野,38,15.18
ＳＩビル,37,17.0
コーポアルプ,38,19.23
メゾン・シャルマン,32,57.42
グランパセオ文京小日向,2,40.65
リビオ文京関口シティクロス,19,69.07
ＢＬＡＮＥＬ　神楽坂,4,34.7
都電荒川線 早稲田駅 4階建 築1年,1,19.7
高砂ビル,38,18.09
ＪＲ山手線 高田馬場駅 5階建 築32年,32,19.44
メゾンフロラール,32,19.44
東京メトロ半蔵門線 表参道駅 3階建 築28年,28,63.01
東京メトロ千代田線 千駄木駅 14階建 築9年,9,59.84
Log文京SENDAGI／ログ文京千駄木,9,59.84
クオリア後楽園,21,38.74
東京メトロ半蔵門線 表参道駅 3階建 築28年,28,63.01
東京メトロ南北線 本駒込駅 6階建 築22年,22,51.02
新築：カーザ　フィオーレ,0,83.36
北川ビル,45,53.25
西落合マウンテンハイム,34,18.2
La fleur 根津,10,38.5
シャトーEI,39,21.0
ＪＲ中央線 大久保駅 4階建 築39年,39,21.0
ＪＲ中央線 御茶ノ水駅 17階建 築20年,20,33.0
京王新線 幡ヶ谷駅 3階建 築39年,39,15.57
ハイツ竹井,39,15.57
ライオンズマンション御苑前,43,21.17
東京メトロ丸ノ内線 新宿御苑前駅 11階建 築43年,43,21.17
343レジデンス後楽園,0,53.8
サンクタス銀座,13,65.77
信濃町ハイツ,57,29.19
高砂ビル,38,18.09
東京メトロ有楽町線 護国寺駅 地下1地上5階建 築4年,4,17.7
ルミエール,0,37.78
CITY SPIRE新富町（シティスパイア新富町）,19,22.01
ハーモニーレジデンス文京白山,14,43.13
神楽坂スクエア,39,19.17
東京メトロ南北線 本駒込駅 15階建 築5年,5,40.79
東京メトロ丸ノ内線 本郷三丁目駅 10階建 築5年,5,25.35
オーパスレジデンス日本橋水天宮,6,54.19
ＪＲ中央線 御茶ノ水駅 5階建 築8年,8,41.55
都営新宿線 曙橋駅 11階建 築53年,53,20.94
DEUX TOURS CANAL＆SPA WEST,10,44.67
ＪＲ総武線快速 馬喰町駅 地下1地上14階建 築8年,8,40.41
都営大江戸線 都庁前駅 地下1地上14階建 築44年,44,13.79
A-standard本郷三丁目,12,43.3
アクシルコート銀座イースト,24,80.94
東京メトロ日比谷線 広尾駅 2階建 築45年,45,119.93
東京メトロ千代田線 千駄木駅 7階建 築41年,41,55.31
都営三田線 白山駅 3階建 築12年,12,24.02
クレアホームズ小石川,27,52.28
ＪＲ総武線快速 馬喰町駅 14階建 築11年,11,56.14
野中荘,68,9.0
湯島２丁目戸建,48,69.66
ジオエント本郷,5,25.39
東京メトロ丸ノ内線 新大塚駅 4階建 築5年,5,23.18
東京メトロ有楽町線 月島駅 5階建 築7年,7,66.54
グラシーナ文京,8,44.77
東京メトロ有楽町線 江戸川橋駅 13階建 築12年,12,44.62
ブランズ・ザ・ハウス一番町,9,94.02
クレスト音羽,4,34.05
グローリオシェルト飯田橋,2,25.44
東京メトロ有楽町線 江戸川橋駅 12階建 築8年,8,26.25
オープンレジデンシア代々木公園,6,65.06
ザ・サンクレイドル日本橋レジデンス,7,53.8
シェフルール文京茗荷谷,6,35.17
ＪＲ山手線 目白駅 2階建 築35年,35,21.0
カーネ西早稲田,35,17.79
文京グリーンコートビュータワー本駒込,18,57.55
アゼリアハウス,59,23.1
プレール・ドゥーク東京ベイ3,20,23.78
ミツボシマンション,62,18.81
ヒューリックレジデンス茗荷谷,15,27.83
都営新宿線 小川町駅 地下1地上14階建 築3年,3,45.0
フレンシア文京関口,6,40.56
東京メトロ有楽町線 江戸川橋駅 13階建 築6年,6,40.56
京王新線 初台駅 3階建 築27年,27,73.02
ゴールドシティ江戸川橋,11,40.54
東京メトロ丸ノ内線 四谷三丁目駅 地下1地上9階建 築46年,46,21.89
都営新宿線 小川町駅 地下1地上14階建 築3年,3,45.0
プロジェティーム・ハイヴ,8,21.91
ルミナス富ヶ谷,0,62.03
プレール・ドゥーク東京ベイ3,20,23.78
グランアセット早稲田,18,39.01
サニーハイツ２１,39,18.0
シャトーセーケー,31,16.7
ＪＲ山手線 高田馬場駅 地下2地上4階建 築31年,31,16.7
東京メトロ有楽町線 江戸川橋駅 8階建 築8年,8,30.01
小田急線 参宮橋駅 3階建 築6年,6,54.04
アイラ　Ｂ,36,23.18
ＪＲ総武線快速 馬喰町駅 10階建 築3年,3,25.51
グローセインゼル湯島,15,48.29
東京メトロ丸ノ内線 淡路町駅 地下2地上12階建 築7年,7,25.76
都営三田線 白山駅 6階建 築33年,33,87.85
ザ・グランツ代々木参宮橋,8,53.37
パークルール大手町,3,45.0
都営大江戸線 月島駅 8階建 新築,0,26.88
ベアーズ目白,31,21.06
ＣＲＥＡＬ江戸川橋,2,47.05
スカイコート新宿第3,31,16.27
京王新線 幡ヶ谷駅 4階建 新築,0,31.0
アーバネックス日本橋水天宮,6,40.57
東京メトロ日比谷線 築地駅 10階建 築45年,45,66.42
パークアクシス神田レジデンス,0,28.14
向丘・旬創館,6,27.86
アーバネックス日本橋水天宮,6,40.57
東京メトロ日比谷線 築地駅 10階建 築45年,45,66.42
東京メトロ日比谷線 八丁堀駅 14階建 築22年,22,60.04
ラ・ベルヴィ関口,28,84.31
神楽坂邸,53,170.52
ＪＲ山手線 西日暮里駅 9階建 築29年,29,63.93
ＪＲ中央線 水道橋駅 14階建 築12年,12,37.03
本町戸建,18,84.87
都営大江戸線 勝どき駅 8階建 築8年,8,31.12
くわいえっと早稲田,66,19.33
ＪＲ総武線 浅草橋駅 10階建 築4年,4,25.39
アボリアスコート笹塚ウエスト,25,75.85
ベルファース本郷弓町,19,29.1
都営三田線 千石駅 地下1地上4階建 新築,0,40.39
都営新宿線 曙橋駅 9階建 築42年,42,14.04
メゾンKH,7,41.19
ジャックメールIII,8,69.55
東京メトロ丸ノ内線 御茶ノ水駅 5階建 築2年,2,19.57
東京メトロ有楽町線 新富町駅 12階建 築24年,24,25.75
渋谷区鶯谷町戸建,14,125.88
ＪＲ山手線 渋谷駅 3階建 築14年,14,125.88
SEASON FLATS日本橋人形町プレミア,0,45.09
AXAS銀座アジールコート,7,27.58
東京メトロ日比谷線 八丁堀駅 10階建 築7年,7,26.52
CLIOラベルヴィ中央湊,0,35.0
ＪＬＢグランエクリュ松濤,31,16.32
東京メトロ丸ノ内線 本郷三丁目駅 6階建 築28年,28,50.67
菱和パレス虎ノ門,25,25.86
TRUST VALUE北新宿,56,25.0
小日向レジデンス,35,83.32
TRUST VALUE北新宿,56,25.0
都営浅草線 宝町駅 10階建 築2年,2,44.98
サンウッド目白台,25,63.27
ＪＲ総武線 水道橋駅 14階建 築19年,19,29.1
東京メトロ丸ノ内線 茗荷谷駅 12階建 築28年,28,57.36
ＪＲ山手線 秋葉原駅 9階建 築9年,9,40.34
パークコート浜離宮ザタワー,6,35.1
東京メトロ東西線 早稲田駅 地下1地上6階建 築40年,40,19.08
COCO GARDEN目白台,1,37.47
東京メトロ有楽町線 月島駅 5階建 築8年,8,46.37
プレシス東神田,13,40.3
シャリエ御茶ノ水,6,33.8
パークアクシス日本橋浜町,19,53.68
グラシアプレイス本駒込,4,40.63
ＪＲ山手線 田端駅 13階建 築26年,26,65.01
加賀美ビル,56,20.0
アトラス本郷三丁目,6,46.09
パークコート一番町,7,95.34
ビオライフハウス幡ヶ谷,40,90.42
クラリティア文京本郷,0,43.59
東京メトロ南北線 東大前駅 3階建 築42年,42,53.0
大野ビル,40,19.92
東京メトロ南北線 東大前駅 地下1地上13階建 築31年,31,53.47
東京メトロ千代田線 湯島駅 9階建 築13年,13,25.37
コート本郷,27,50.67
ＪＲ山手線 西日暮里駅 13階建 築24年,24,64.23
ＪＲ中央線 四ツ谷駅 地下4地上17階建 築25年,25,68.01
ＪＲ山手線 神田駅 15階建 築9年,9,32.95
クレヴィア渋谷初台,6,60.58
パークホームズ本郷三丁目,2,43.54
ＪＲ総武線 御茶ノ水駅 地下1地上15階建 築22年,22,57.88
東京メトロ有楽町線 月島駅 10階建 築5年,5,40.31
月島輝夜,5,40.31
ABACUS KANDA,1,54.77
ＪＲ山手線 神田駅 11階建 築1年,1,54.77
R-STYLE文京小石川,12,42.54
東京メトロ有楽町線 江戸川橋駅 7階建 築12年,12,42.54
東京メトロ銀座線 神田駅 14階建 築10年,10,31.78
Ｕｅｈａｒａ　３　Ｈｏｕｓｅ,24,85.86
ミリオンコート新宿,35,15.0
LEXE文京白山,8,25.51
プティシェーヌ茗荷谷,3,67.6
テラス三栄町,37,196.19
パークスクエア小石川,25,54.67
カテリーナ文京千駄木,24,64.23
ＪＲ総武線 東中野駅 4階建 築25年,25,23.8
東京メトロ有楽町線 新富町駅 12階建 築10年,10,40.42
ウィルローズ東京八丁堀,10,40.42
ベイサイドタワー晴海,10,54.73
habicera秋葉原（アビセラ秋葉原）,7,45.9
東京メトロ銀座線 青山一丁目駅 地上3階建 最上階,33,198.0
トーカン新宿第２キャステール,46,15.1
都営新宿線 浜町駅 9階建 築10年,10,44.46
Ｃａｓａ　Ｆｏｒｅｓｔａ,2,58.59
アクティ東仲通り,13,39.31
ＪＲ山手線 恵比寿駅 2階建 築50年,50,15.0
サンファスト東中野,58,32.9
シティインデックス千代田岩本町,10,31.78
ＪＲ山手線 神田駅 14階建 築8年,8,25.18
アクティ東仲通り,13,39.31
サンテラス代々木上原,26,95.71
CITY SPIRE半蔵門　シティスパイア半蔵門,20,62.24
小田急線 参宮橋駅 4階建 新築,0,64.48
（仮称）代々木５丁目メゾン,0,64.48
渋谷区上原２丁目住宅（０００４５７２）,20,72.24
都営三田線 千石駅 地下2地上22階建 築28年,28,56.89
東京メトロ丸ノ内線 御茶ノ水駅 13階建 築11年,11,25.44
ドゥーエ東大前,3,40.43
クレスト千駄木,16,38.23
クレド小日向,28,57.36
ＪＰ　ｎｏｉｅ　小石川富坂,19,50.45
文京グリーンコートビュータワー本駒込,28,51.01
MID TOWER GRAND,5,42.05
ＺＯＯＭ東神田,6,25.66
ガーラ・ヴィスタ日本橋浜町,12,43.4
テレパレス文京千石 1号棟,46,74.8
サンピエス根津,18,34.54
東京メトロ半蔵門線 三越前駅 10階建 築15年,15,40.01
都営大江戸線 勝どき駅 地下1地上14階建 築31年,31,55.39
都営新宿線 浜町駅 7階建 築12年,12,40.14
リブリ・Fiona　【リブリフィオナ】,12,40.14
コンシェリア文京小石川,13,25.4
都営大江戸線 西新宿五丁目駅 14階建 築6年,6,54.66
東京メトロ有楽町線 月島駅 8階建 築20年,20,40.05
東京メトロ南北線 後楽園駅 8階建 築40年,40,75.46
ガーデンサイド小石川,3,18.01
東京メトロ丸ノ内線 茗荷谷駅 3階建 築3年,3,18.01
東京メトロ千代田線 千駄木駅 10階建 築16年,16,38.23
グラン　エスポワール,0,44.59
プラウドタワー白金台,11,78.26
フィシオ笹塚テラス,11,55.88
プラウド恵比寿ディアージュ,10,68.69
ＪＲ山手線 恵比寿駅 13階建 築10年,10,68.69
アルペン新宿ビル,36,17.55
GranDuo代々木2,2,27.43
東京メトロ有楽町線 江戸川橋駅 11階建 築12年,12,25.19
都営大江戸線 勝どき駅 8階建 築17年,17,21.6
THE PARK HOUSE GRAN MINAMIAOYAMA,9,115.9
パークサイド・ウイングス,37,71.97
